source_rank,company_name,domain,field,internal_field,value,source_api,source_field,status,missing_or_unavailable,not_verified,reason,api_gated_column,endpoint_used,raw_response_saved,raw_response_path,credits_used_for_company,credit_evidence
4,ST Engineering,stengg.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\st_engineering.json,1,api/v1/organizations/enrich.day.consumed: 34 -> 35
4,ST Engineering,stengg.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\st_engineering.json,1,api/v1/organizations/enrich.day.consumed: 34 -> 35
5,Toyota Motor Corporation,global.toyota,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\toyota_motor_corporation.json,1,api/v1/organizations/enrich.day.consumed: 35 -> 36
5,Toyota Motor Corporation,global.toyota,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\toyota_motor_corporation.json,1,api/v1/organizations/enrich.day.consumed: 35 -> 36
5,Toyota Motor Corporation,global.toyota,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\toyota_motor_corporation.json,1,api/v1/organizations/enrich.day.consumed: 35 -> 36
6,Sony Group Corporation,sony.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\sony_group_corporation.json,1,api/v1/organizations/enrich.day.consumed: 36 -> 37
6,Sony Group Corporation,sony.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\sony_group_corporation.json,1,api/v1/organizations/enrich.day.consumed: 36 -> 37
6,Sony Group Corporation,sony.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\sony_group_corporation.json,1,api/v1/organizations/enrich.day.consumed: 36 -> 37
7,Samsung Electronics,samsung.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\samsung_electronics.json,1,api/v1/organizations/enrich.day.consumed: 37 -> 38
7,Samsung Electronics,samsung.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\samsung_electronics.json,1,api/v1/organizations/enrich.day.consumed: 37 -> 38
7,Samsung Electronics,samsung.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\samsung_electronics.json,1,api/v1/organizations/enrich.day.consumed: 37 -> 38
8,SK Hynix,skhynix.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\sk_hynix.json,1,api/v1/organizations/enrich.day.consumed: 38 -> 39
8,SK Hynix,skhynix.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\sk_hynix.json,1,api/v1/organizations/enrich.day.consumed: 38 -> 39
8,SK Hynix,skhynix.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\sk_hynix.json,1,api/v1/organizations/enrich.day.consumed: 38 -> 39
9,Infosys,infosys.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\infosys.json,1,api/v1/organizations/enrich.day.consumed: 39 -> 40
9,Infosys,infosys.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\infosys.json,1,api/v1/organizations/enrich.day.consumed: 39 -> 40
9,Infosys,infosys.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\infosys.json,1,api/v1/organizations/enrich.day.consumed: 39 -> 40
10,BHP,bhp.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\bhp.json,1,api/v1/organizations/enrich.day.consumed: 40 -> 41
10,BHP,bhp.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\bhp.json,1,api/v1/organizations/enrich.day.consumed: 40 -> 41
10,BHP,bhp.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\bhp.json,1,api/v1/organizations/enrich.day.consumed: 40 -> 41
